iter	Passed	Remaining
799	3041	760
800	3044	756
801	3048	752
802	3051	748
803	3055	744
804	3059	741
805	3063	737
806	3066	733
807	3070	729
808	3074	725
809	3078	722
810	3081	718
811	3085	714
812	3088	710
813	3092	706
814	3095	702
815	3099	698
816	3102	694
817	3106	691
818	3109	687
819	3113	683
820	3116	679
821	3120	675
822	3123	671
823	3127	667
824	3130	664
825	3134	660
826	3138	656
827	3141	652
828	3145	648
829	3148	644
830	3152	641
831	3155	637
832	3158	633
833	3162	629
834	3165	625
835	3169	621
836	3173	618
837	3176	614
838	3180	610
839	3183	606
840	3187	602
841	3190	598
842	3193	594
843	3196	590
844	3200	587
845	3203	583
846	3207	579
847	3210	575
848	3214	571
849	3217	567
850	3221	563
851	3224	560
852	3227	556
853	3231	552
854	3235	548
855	3238	544
856	3241	540
857	3245	537
858	3249	533
859	3253	529
860	3256	525
861	3260	521
862	3264	518
863	3267	514
864	3271	510
865	3274	506
866	3278	502
867	3281	499
868	3285	495
869	3288	491
870	3292	487
871	3295	483
872	3299	479
873	3302	476
874	3305	472
875	3309	468
876	3312	464
877	3316	460
878	3319	456
879	3322	453
880	3326	449
881	3330	445
882	3333	441
883	3337	437
884	3340	434
885	3344	430
886	3348	426
887	3352	422
888	3355	418
889	3358	415
890	3362	411
891	3365	407
892	3368	403
893	3372	399
894	3376	396
895	3379	392
896	3382	388
897	3386	384
898	3389	380
899	3393	377
900	3397	373
901	3400	369
902	3404	365
903	3407	361
904	3411	358
905	3414	354
906	3418	350
907	3421	346
908	3425	342
909	3428	339
910	3432	335
911	3435	331
912	3440	327
913	3443	324
914	3447	320
915	3450	316
916	3453	312
917	3458	308
918	3462	305
919	3469	301
920	3475	298
921	3479	294
922	3482	290
923	3486	286
924	3490	282
925	3493	279
926	3496	275
927	3499	271
928	3503	267
929	3507	263
930	3510	260
931	3513	256
932	3516	252
933	3520	248
934	3523	244
935	3527	241
936	3531	237
937	3534	233
938	3538	229
939	3542	226
940	3545	222
941	3549	218
942	3552	214
943	3555	210
944	3559	207
945	3562	203
946	3566	199
947	3570	195
948	3573	192
949	3577	188
950	3580	184
951	3584	180
952	3587	176
953	3591	173
954	3594	169
955	3598	165
956	3602	161
957	3605	158
958	3609	154
959	3612	150
960	3616	146
961	3620	142
962	3623	139
963	3627	135
964	3630	131
965	3634	127
966	3637	124
967	3641	120
968	3645	116
969	3649	112
970	3653	109
971	3657	105
972	3660	101
973	3664	97
974	3668	94
975	3671	90
976	3675	86
977	3679	82
978	3683	79
979	3686	75
980	3690	71
981	3693	67
982	3697	63
983	3701	60
984	3704	56
985	3708	52
986	3712	48
987	3715	45
988	3719	41
989	3722	37
990	3725	33
991	3729	30
992	3733	26
993	3736	22
994	3740	18
995	3743	15
996	3747	11
997	3750	7
998	3753	3
999	3757	0
